The following GPUs could not be reset:
  GPU 00000000:18:00.0: Not Supported
  GPU 00000000:29:00.0: Not Supported
  GPU 00000000:3A:00.0: Not Supported
  GPU 00000000:4B:00.0: Not Supported
  GPU 00000000:9A:00.0: Not Supported
  GPU 00000000:AA:00.0: Not Supported
  GPU 00000000:BA:00.0: Not Supported
  GPU 00000000:CA:00.0: Not Supported
{'loss': 0.3873, 'grad_norm': 0.4266834855079651, 'learning_rate': 9.888152954441785e-06, 'epoch': 0.58}
{'loss': 0.4038, 'grad_norm': 0.5145835280418396, 'learning_rate': 9.882512974863763e-06, 'epoch': 0.58}
{'loss': 0.3747, 'grad_norm': 0.34607163071632385, 'learning_rate': 9.876735959892954e-06, 'epoch': 0.59}
{'loss': 0.3562, 'grad_norm': 0.45904290676116943, 'learning_rate': 9.870822071670353e-06, 'epoch': 0.6}
{'loss': 0.4004, 'grad_norm': 0.5682626366615295, 'learning_rate': 9.864771476178523e-06, 'epoch': 0.61}
{'loss': 0.3804, 'grad_norm': 0.35396525263786316, 'learning_rate': 9.858584343236922e-06, 'epoch': 0.62}
{'loss': 0.3738, 'grad_norm': 0.37576204538345337, 'learning_rate': 9.852260846497153e-06, 'epoch': 0.62}
{'loss': 0.3641, 'grad_norm': 0.42888423800468445, 'learning_rate': 9.84580116343808e-06, 'epoch': 0.63}
{'loss': 0.3265, 'grad_norm': 0.3545660972595215, 'learning_rate': 9.83920547536085e-06, 'epoch': 0.64}
{'loss': 0.3785, 'grad_norm': 0.3516482412815094, 'learning_rate': 9.832473967383807e-06, 'epoch': 0.65}
{'loss': 0.3542, 'grad_norm': 0.388943076133728, 'learning_rate': 9.82560682843729e-06, 'epoch': 0.66}
{'loss': 0.3976, 'grad_norm': 0.39880600571632385, 'learning_rate': 9.818604251258336e-06, 'epoch': 0.66}
{'loss': 0.3812, 'grad_norm': 0.3892002999782562, 'learning_rate': 9.811466432385269e-06, 'epoch': 0.67}
{'loss': 0.3387, 'grad_norm': 0.33706751465797424, 'learning_rate': 9.804193572152181e-06, 'epoch': 0.68}
{'loss': 0.3861, 'grad_norm': 0.3492855429649353, 'learning_rate': 9.796785874683314e-06, 'epoch': 0.69}
{'loss': 0.3631, 'grad_norm': 0.392982542514801, 'learning_rate': 9.789243547887333e-06, 'epoch': 0.7}
{'loss': 0.3356, 'grad_norm': 0.32072556018829346, 'learning_rate': 9.781566803451476e-06, 'epoch': 0.7}
{'loss': 0.3839, 'grad_norm': 0.3878028094768524, 'learning_rate': 9.773755856835632e-06, 'epoch': 0.71}
{'loss': 0.3708, 'grad_norm': 0.31283435225486755, 'learning_rate': 9.765810927266281e-06, 'epoch': 0.72}
{'loss': 0.3683, 'grad_norm': 0.513518750667572, 'learning_rate': 9.757732237730346e-06, 'epoch': 0.73}
{'loss': 0.3394, 'grad_norm': 0.37859079241752625, 'learning_rate': 9.749520014968936e-06, 'epoch': 0.74}
